OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
175,DuBourg,Robert,https://data.baltimorecity.gov/views/5xsg-uc29/files/frr1BWqyBpf1LGmR7GyynSOd3TiwZAgmuTXUkxqh6wA?filename=13_DuBourg_1977.jpg,Amanogawa,1977,limestone/stainless steel,21202,Shot Tower Park,Fayette and Fallsway Sts.,,Fayette and Fallsway,,,,,"Fayette and Fallsway Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,d36de796-7104-4ca1-a312-84f15abc1505
176,Moseley,Rita Godfrey,,Unknown,1978,fabric wall hanging,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior,,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,aff3bb24-7948-4b72-be2d-b0decb72bba8
177,Berge,Edward,,Little Wild Flower,before 1924,bronze,21210,Keswick House,700 W. 41st St.,,,,,,,"700 W. 41st St.21210
(39.358510000000024, -76.63551999999993)",214,254,14004,924d6e5e-9651-4afd-8b93-d5de545384ff
178,Schuler,Hans,,Sidney Lanier Monument,1941,bronze and unpolished granite,21218,Johns Hopkins University,N. Charles St. near University Pkwy.,,N. Charles at University Parkway W,,,,Y,"N. Charles St. near University Pkwy.21218
(39.32947000000013, -76.60331999999988)",77,186,27307,2b89ba91-94b0-4f25-bd6b-3848df233c30
179,Leizman,William,,Untitled,,chrome,21215,George W.F. McMechen Jr./Sr. High School,4411 Garrison Blvd.,PS 177,Library/media center,,,,,"4411 Garrison Blvd.21215
(39.33727439431152, -76.68473724635697)",34,65,27295,db1040af-af44-40c6-ba7d-7150f15eb33a
180,Kitson,Theodora Alice Ruggles,,"U.S. Spanish-American War Memorial (""The Hiker"")",original cast c. 1921,,21224,North Lakewood Ave. and E. Fayette St.,N. Lakewood Ave. and E. Fayette St.,,,,,,Y,"N. Lakewood Ave. and E. Fayette St.21224
(39.29451163181835, -76.57919281299831)",9,119,27935,a77e491f-abf1-482c-9ca1-e400eda314c0
181,Harlow,Malcolm,,H.L. Mencken Fountain,1976,,21223,Union Square,Union Square,,,,,,Y,"Union Square21223
(39.28365000000008, -76.65196999999989)",36,279,27632,2b97b4ee-e778-44c7-90d4-2286f208dc8f
182,Winborne,Kylis,,,1999,mural,21201,801 McCulloh St.,801 McCulloh St.,,East wall of Arena Players' Building,Flowers,Visible,,,"801 McCulloh St.21201
(39.29868448603429, -76.62299878904554)",224,94,13642,397af520-17f4-48e9-85ef-aef1891ece02
183,Moring,Greg,,Unknown,,steel,21202,Streetscape,Lombard and Gay Sts.,,East of intersection,,,,,"Lombard and Gay Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,69ee7a5e-94c1-4ddc-907a-8d754904dbe5
184,unknown,,,Hopkins monument,,,21213,Clifton Park,,,,,,,Y,"21213(39.316199999999924, -76.57662999999991)",276,194,26956,cc072d3a-fa7e-4988-8eed-20f5b4085e5f
185,Maxwell,Brooke R.,,Memorial Stadium Façade,,,21218,33rd St. between Ellerslie Ave. and Ednor Rd.,33rd St. btwn Ellerslie Ave. and Ednor Rd.,,,,,,,"33rd St. btwn Ellerslie Ave. and Ednor Rd.21218
(39.32947000000013, -76.60331999999988)",77,186,27307,c53497b7-ccd7-4908-b29c-e190e473ba6a
186,Jacobson,Patrick,,,1995,mural,21205,2324 McElderry St.,2324 McElderry St.,,Side of American Legion N.E. Post #285 Bldg.,"Variety of scenes, including parrot",Visible,,,"2324 McElderry St.21205
(39.29765925892087, -76.58422002314211)",141,125,13987,21dbaf19-5290-4fed-9e5b-8e2102845ac7
187,James and Access Art Inc.,Shawn,,BELIEVE,2004,mural (non-city funded),21202,Liberty and Clay Sts.,Liberty and Clay Sts.,,Side of building with parking lot,"BELIEVE street scene with believers, future believers, and reason to believe",Very visible from Liberty St.,,,"Liberty and Clay Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,27bf24bf-31b4-425b-8779-87e091ddc094
188,Architects,Associated,,Federal Office Building Entrance Fountains,,,21201,Hopkins Plaza,Hopkins Plaza,,,,,,,"Hopkins Plaza21201
(39.294880000000035, -76.62253999999996)",224,90,13642,d0577ce0-9d92-4931-b40b-676c4d6a815a
189,du Fayette,Pierre,,Untitled,1968,stainless steel,21218,Cecil ES,2000 Cecil Ave.,PS  07,"Interior; entrance wall",,,,,"2000 Cecil Ave.21218
(39.313523299517726, -76.605273151848)",73,157,27307,e65e4dbb-a7b1-4f26-aad5-f577fb5404aa
190,Voshell,James,,"Locks, Keys, and Security Devices",1991,mural (non-city funded),21215,5801 Reisterstown Rd.,5801 Reisterstown Rd.,,Wraps around top of EZ Storage building,"Various types of locks, keys, and security devices",Very visible,,,"5801 Reisterstown Rd.21215
(39.350728251869896, -76.69460280901836)",208,246,27295,aa3b6eef-081a-44a0-8c49-9c05d858216c
191,Luery,Susan,,Unknown,1977,polyester resin,21216,Central Rosemont Recreation Center,2621 Winchester St.,,"Interior, partially destroyed by fired and arson - in process of re-commissioning",,,,,"2621 Winchester St.21216
(39.30144758890202, -76.66106104838957)",247,48,27297,b016a415-f039-4d13-81bf-6657765d664e
192,,Unknown,,Untitled fountain,1993,,21217,Baltimore Zoo,Baltimore Zoo,,CAN NOT LOCATE,,,,Y,"Baltimore Zoo21217
(39.31194000000011, -76.64039000000002)",195,19,27301,582cf67c-f11f-40d8-bd79-c3972e5f2d69
193,Cooke,Betty,,Unknown,1970,concrete,21229?,? ES,3434 Old Frederick Ave.,PS  73A,Interior,,,,,"3434 Old Frederick Ave.21229?
(39.28231689735816, -76.67439955363838)",167,74,27950,c4329479-203e-41bd-8122-4fe632044a07
194,Carlberg,Norman,,Uno y Dos,,steel,21208,Milford Mill Station,Milford Mill Station,,,,,,,"Milford Mill Station21208
(39.35978442470491, -76.74607100875522)",,,13998,b578f7d9-bb95-480d-a2cd-7149f3055e9a
195,Emberson,Laura,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,40b87d9b-090c-4f66-a238-522107d5774b
196,Hurst,Lawrence,,Unknown,1984/02,oil/canvas,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy,PS 450,"Interior; ceremonial lobby",,,,,"2301 Gwynns Falls Pkwy21217
(39.31568167238805, -76.65537438210032)",157,40,27297,7887ecaf-208d-400e-87be-f178748eca1e
197,Bartholmew,Edward Scheffield,,George Washington,1857,marble,21217,Druid Hill Park,Druid Hill Park,,,,,,Y,"Druid Hill Park21217
(39.316007473609055, -76.64384898808959)",190,21,27301,ffb1f3ab-30e4-42c8-a289-dbffc62d2780
198,Sheppard,Joseph,,Brooks Robinson,2011,Bronze,21201,Brooks Robinson Plaza  on Russel Street between the Stadium and Pickles Pub,"Intersection of Washington Blvd., Russell Street, South Paca Street & Camden Streets",,Median Plaza directly in front of Pickles Pub,Bronze (with gold leaf over glove) of Brooks Robinson on 3rd Base,Very Visible,Outdoor Artwork,,"Intersection of Washington Blvd., Russell Street, South Paca Street & Camden Streets21201
(39.294880000000035, -76.62253999999996)",224,90,13642,27d856d4-dd02-4fd5-a5a9-650128cb173e
199,Hurst,Laurence,,Portrait of Frederick Douglass,1984/02,bronze,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,Facade of north elevation,,,,,"2301 Gwynns Falls Pkwy.21217
(39.31568167238805, -76.65537438210032)",157,40,27297,94d3ca36-eddf-4cff-b7f2-00a1f86b86ea
200,Hartmann,Jud,https://data.baltimorecity.gov/views/5xsg-uc29/files/Ylvq-SXn73uJeVD5VIEz1sw3ZzobWllE6JDH1Fsah74?filename=351c_Hartmann+J_1992.JPG,Dhontshihgwa'es (Creator's Game),1992,bronze,21218,Lacrosse Museum,113 W. University Pkwy.,,Exterior near front entrance of Lacrosse Museum,"Two Indians playing lacrosse; fighting for the ball",,,Y,"113 W. University Pkwy.21218
(39.33123281190475, -76.61602960083205)",277,176,27307,da4b0cdb-0d2d-46c6-9c06-802d216f8014
201,unknown,,,Columbus Obelisk,1792,,21213,Herring Run Park,Harford Rd. and Walter Blvd.,,,,,,Y,"Harford Rd. and Walter Blvd.21213
(39.316199999999924, -76.57662999999991)",276,194,26956,19066d62-9464-4550-8d2e-93b45690af1b
202,Snelson,Kenneth,https://data.baltimorecity.gov/views/5xsg-uc29/files/gT6LCPlaObrA2kbPwiDu52easeliZGqPHWT8WHwmTkU?filename=23b_Snelson++K_1978.jpg,Easy Landing,1978,stainless steel,21202,Maryland Science Center Entrance,601 Light St.,,Inner Harbor Promenade,stainless steel compression tubes strung together with tension cables,highly visible,outdoor accessible,,"601 Light St.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,d892fad3-7f1e-4724-b526-8b5b56e7de49
203,Hofmann,Earl,,Unknown,1969,gunite,21213,Fort Worthington ES,2701 E. Oliver St.,PS  85,Exterior - may have been removed from vandalism,,,,,"2701 E. Oliver St.21213
(39.307993578400705, -76.57999027239782)",15,152,26956,ab272dac-5ce9-4924-a63f-ff0a94e5f2f1
204,"Arnold, Veale, Gray, Mason, Waters-Eller","Derek, Archie, Nichole…",,,1995,mural,21201,Howard and Franklin Sts.,Howard and Franklin Sts.,,Side of building facing Howard St.,3 murals of varying scenes (multiple artists),Very visible,,,"Howard and Franklin Sts.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,c6d12690-1ade-46c5-8991-bcb3c5bca50f
205,Hurst,Laurence,,The Spirit of Constant Care,1979,"oil on canvas, framed",21217,Constant Care Community Health Center,1501 Division St.,,Main lobby,,,,,"1501 Division St.21217
(39.303082170757534, -76.63195603645732)",242,101,27301,e0f7aa06-9438-4af4-89eb-0f818c1f3b40
206,Ferguson,John D.,,Veronica,1985,cor ten,21215,6700 block of Park Heights Ave.,6700 block of Park Heights Ave.,,Between Labyrinth Rd. and Clarinth Rd.,,,,,"6700 block of Park Heights Ave.21215
(39.34556999999995, -76.68362000000002)",5,244,27295,9ef7a772-0147-4a82-9f53-3693bdf61325
207,Ellsberry,John,,,1994,mural,21223,910 W. Pratt St.,910 W. Pratt St.,,"Side of building by Baltimore and Ohio Railroad; restored in 2000",Locamotive,Visible,,,"910 W. Pratt St.21223
(39.28583317423556, -76.63264851441988)",114,177,27632,5db7321c-41a7-4c04-8a86-2d747b9d1ba5
208,Lawrence,Charles,,Soying Seeds of Sandtown,1998,mural (non-city funded),21217,1139 N. Gilmore St.,1139 N. Gilmore St.,,Side of building with community park,"Two men, garden, and woman and a girl; houses in background",Limited visibilty,,,"1139 N. Gilmore St.21217
(39.3015526379558, -76.6430238325883)",221,86,27301,232aeff3-61c0-46c6-bef8-aaff524aead2
209,Rattigan,Jennifer,,,2004,mural,21213,1731 E. Chase St.,1731 E. Chase St.,,Side of The Community Resource Center building,"Faces, flowers, and buildings",Limited visibility,,,"1731 E. Chase St.21213
(39.303289014824315, -76.59300639936833)",152,127,13987,4c70e7d7-ca9b-4a46-a31a-0bf2500801cc
210,Bourdelle,Emile Antoine,,Fruit,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,fca0e7dd-9f0e-4267-947f-c7e1a59be5c4
211,Zopf,Fernanda,,Unknown,1976,granite,21230,Charles Carroll Barrister ES,1327 Washington Blvd.,PS  34,Entrance plaza,,,,,"1327 Washington Blvd.21230
(39.28032465761226, -76.63572931347767)",250,177,27953,6ed94007-1104-40d0-aca6-a543830e9744
212,Wilson,Edward,,Unknown,1984/02,bronze,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,Lobby,,,,,"2301 Gwynns Falls Pkwy.21217
(39.31568167238805, -76.65537438210032)",157,40,27297,ed7480a5-6043-4b28-9e0e-4438bd1354f2
213,Reed,Robert,,Unknown,1970,"acrylic, wood",21223,Southwestern Sr. HS,200 Font Hill Ave.,,Second floor hallway,,,,,"200 Font Hill Ave.21223
(39.28353990306084, -76.66253298545354)",35,76,27632,430fe636-bf74-4a63-80f0-ae2bfde15737
214,Epstein,Jacob,,The Visitation,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,485691fa-d722-496a-96f9-3dced59563c7
215,Cook,Jeffrey,,,1998,mural,21239,1301 Woodbourne Ave.,1301 Woodbourne Ave.,,Inside,,,,,"1301 Woodbourne Ave.21239
(39.35407372981888, -76.59492195529077)",255,219,28564,e512ae33-7f77-47d2-9d85-f236481a5213
216,Canessa (replica),Achille,,Columbus Monument,1892,marble,21217,Druid Hill Park,Druid Hill Park,,,,,,Y,"Druid Hill Park21217
(39.316007473609055, -76.64384898808959)",190,21,27301,5223610b-b1f6-4d6a-9fe6-9f0db559197e
217,Warren,Erik,,,1996,mural,21218,401E. Lorraine St.,401 Lorraine St.,,Side of building facing Barclay St.,Five different figures inside globe,Visible,,,"401 Lorraine St.21218
(39.32947000000013, -76.60331999999988)",77,186,27307,9c6cd749-d099-472b-adab-cd39218c61a9
218,du Fayette,Pierre,,Unknown,,concrete,21217,Furman L. Templeton Recreation Center,1200 N. Pennsylvania Ave.,,Corner of Pennsylvania and Lanvale Streets,,,,,"1200 N. Pennsylvania Ave.21217
(39.299507365976886, -76.62976664033435)",242,90,27301,d48c3c8d-17e0-4a2a-8f96-892386b42c48
219,"Johnson, Jr.",J. Seward,https://data.baltimorecity.gov/views/5xsg-uc29/files/Hvpeyn1HFFsbG_LNC3lbUTNRMBMAlJYwEzfJICzgwA4?filename=63_Johnson+S_1980.jpg,The Briefing,1980s?,bronze,21201,Baltimore Convention Center,1 W. Pratt St.,,Inside Charles St. Lobby (100 Level),"two men with papers, briefcase and breakfast sitting/standing and 'talking business'",moderately visible,Indoor accessible,,"1 W. Pratt St.21201
(39.28646269965611, -76.61616394162286)",241,6,13642,aece2db9-f4c8-43e0-9819-0d81225da62d
220,Voshell,James,,,1990,mural,21223,2229 1/2 W. Pratt St.,2229 1/2 W. Pratt St.,,Side of building,"Photographic-like mural with variety of painteed pictures including Elvis, flower(s), a crab, and a street scene",Very visible,,,"2229 1/2 W. Pratt St.21223
(39.284897879325115, -76.65235266008187)",36,279,27632,5ac441b8-e739-4f58-80b7-05b33a15797a
221,Martini,Marino,,The Miracle,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,ddc2b3a4-24b5-4296-9381-86aff833a252
222,Shaw,Ernest,,,2000,mural,21223,106 S. Calverton St.,106 S. Calverton St.,,Side of abandoned building,Grandfather and two grandchildren,Limited visibility,,,"106 S. Calverton St.21223
(39.28673917194104, -76.65211940500427)",225,78,27632,3fe245e5-e633-4201-9538-fabb25c3f560
223,Mitchell,John B.,,Unknown,1973,mural,21224,Baltimore City Hospitals,4940 Eastern Ave.,,Interior,,,,,"4940 Eastern Ave.21224
(39.28720346133158, -76.55457987930149)",203,139,27935,895ed8d2-ed93-4ceb-9b16-c3660df8dd33
224,Thulman,Ferebee Streett,https://data.baltimorecity.gov/views/5xsg-uc29/files/D42voUj1eToNBf68Zh5iuoEgb4QvwowOAY8DHbxMz0k?filename=699e_Thulman+F+S_2002_03.JPG,Baltimore City Fraternal Order of Police Memorial,2002/ 2003,memorial,21202,East side of President St at Fayette St.,East side of President St at Fayette St.,,East side of President St at Fayette St.,Uniformed man on bended knee with little girl holding hat and touching man's back,Visible,,,"East side of President St at Fayette St.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,8036219b-a6e8-4c6c-a0fa-2075cb63b76e
225,Lawrance,Charles,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,65cc460a-572d-4d59-85b3-61a6014f9155
226,Daniel,Paul,,Venter,,steel and aluminum,21201,State Center Station,State Center Station,,Above platform,,,,,"State Center Station21201
(39.294880000000035, -76.62253999999996)",224,90,13642,2024263c-43b7-4073-9b63-a7310a8c3f7f
227,Perlman,Bernard S.,,Unknown,1968,ceramic tile,21231,Patterson Park Ice Rink,Patterson Park Ice Rink,,Exterior,,,,,"Patterson Park Ice Rink21231
(39.28823000000011, -76.59190000000001)",240,287,27954,17c40637-7e99-4c5d-a344-98b45f6e52f6
228,unknown,,,Veterans Monument,1945,,21217,Payson St. and Ramsey St.,Payson St. and Ramsey St.,,,,,,Y,"Payson St. and Ramsey St.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,645bec9d-d232-4365-985e-1394a28c1299
229,Owen,Michael,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,7bde9d4f-3554-42b3-adb7-8734d9afdf67
230,Women's Mural Project and Ferguson,Mary Carfagno,,,1996,mural (non-city funded),21201,200 block Mulberry St.,200 block Mulberry St.,,Side of inhabited house with garden area below,"Squares inside of squares inside a big square; looks like a window",Visible from street,,,"200 block Mulberry St.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,77df7b10-d6f9-4f9a-af0a-71446744e8ee
231,Ford,John,,,1987,mural,21218,3500 Hillen Rd.,3500 Hillen Rd.,,,,,,,"3500 Hillen Rd.21218
(39.33167161806898, -76.58903139599886)",77,190,27307,bee1e325-bc20-4958-9fe8-8f609f994509
232,Barye,Antoine Louis,https://data.baltimorecity.gov/views/5xsg-uc29/files/655_oRfu9kIHQtx4e-d2XiTm5pmGn3696KHFdpbWxJ4?filename=423_Barye+A_1885.JPG,Order,1885,bronze,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,SW corner of Washington Monument,,highly visible,outdoor accessible,,"Mount Vernon Pl.21201/02
(39.29730928950913, -76.61563717252402)",165,92,13645,4dbe2906-bb6c-4a97-bc4a-42d9e789cb6b
233,Tyson,Donald,,,2008,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,276c0309-1a20-47a6-bf36-d73c7e439656
234,Nguyen,Kien,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,5af91b9b-4c04-4882-9ee1-be3c8f87bd61
235,Hurst,Laurence,,Star Chamber,1978,mixed media,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Entrance hall ceiling,,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,75cfd025-f647-46b2-af4c-159c9e595bd0
236,Moring,Greg,,Series of Points on a Line,,,,City Hospitals,City Hospitals,,,,,,,City Hospitals,,,,01f506cb-dd0e-4830-95cf-4d47e3572994
237,Daniel,Paul,,Titan,1978,corten & steel,21207,Liberty ES,3901 Maine Ave.,PS  64,Rear plaza off lobby,,,,,"3901 Maine Ave.21207
(39.326392597757035, -76.68362208704065)",41,64,13995,41d5761b-9f9a-4dc9-a008-c98011038acf
238,"Shore, James, Access Art","Tony, Shawn",,,2004,mural,21230,837 Washington Blvd.,837 Washington Blvd.,,Side of building,"Pigs in the street; buildings",Visible,,,"837 Washington Blvd.21230
(39.28291937086067, -76.62996853477262)",250,168,27953,8cc2195e-5146-4196-90d1-219ae79ab706
239,Brown,Joe,,Runner,1964,bronze,21218,"Athletic Center, Johns Hopkins University",3400 N. Charles St.,,Exterior entrance,,,,,"3400 N. Charles St.21218
(39.32913762457502, -76.61797969757966)",123,13,14004,9bf3f61e-5d0d-411f-a6e1-0fb8f4317ec0
240,unknown,,,J. Joseph Curran Memorial Clock,,,21212,,Woodbourne Ave. and York Rd.,,,,,,,"Woodbourne Ave. and York Rd.21212
(39.35552163828606, -76.60988667385834)",116,230,14009,17cb74f9-b51c-4f39-a574-2c4c0446bf54
241,Hanson,J.B.,,Unknown,1978,wall hangings,21212,Govans Multipurpose Center,5225 York Rd.,,Interior,,,,,"5225 York Rd.21212
(39.35373198744776, -76.60983271453654)",273,217,14009,091d7d7f-4bf7-4766-903d-fd2060a11f7c
242,Miller,Tom,,,1998,mural,21225,600 Cherry Hill Rd.,600 Cherry Hill Rd.,,Side of building,Multiple scenes,Visible,,,"600 Cherry Hill Rd.21225
(39.25000418458825, -76.62289087040199)",47,146,27937,1b130bb4-8b20-4fba-8a08-f21c1a958010
243,Kramer,Reuben,,Unknown,,,21201,Maryland State Office Building,301 W. Preston St.,,,,,,,"301 W. Preston St.21201
(39.30183211313681, -76.62256711447145)",144,95,13642,9cca0e1d-de10-4ade-bea2-85af16fd0646
244,unknown,,,Guilford Entrance: Antique Italian Well Head,,,21218,Guilford Entrance,near St. Paul and University Pkwy.,,,,,,,"near St. Paul and University Pkwy.21218
(39.32947000000013, -76.60331999999988)",77,186,27307,0e9eebb8-4e3a-43c7-b3cd-c4f479155baa
245,Streett,Tylden,,Mythological Boat,1982,glass-reinforced polyester resin,21218,Waverly ES,700 E. 34th St.,,,,,,Y,"700 E. 34th St.21218
(39.32990081713007, -76.6062952313343)",251,182,27307,6768091d-8c50-44d3-b107-f0cf31e361ce
246,Gardescu,P,,courthouse plaza fountain,,bronze and granite,21201,Baltimore Courthouse,St. Paul St.,,Open space across street,,,,,"St. Paul St.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,4e7fa01f-74a9-450e-a649-06ba1f1db0a9
247,van Rossum,Peter,,Untitled,1967,aluminum,21223,Diggs-Johnson MS -was- Carroll Park JHl,1300 Herkimer St.,,Entrance,,,,,"1300 Herkimer St.21223
(39.2814534759529, -76.63819733134068)",250,177,27632,8577ff49-cedf-4754-b702-e45aaf7d84f3
248,Safell,Edward,,Unknown,1976,mural,21211,Medfield Heights Recreation Center,Woodheights and LaPlata Ave.,,Interior,,,,,"Woodheights and LaPlata Ave.21211
(39.340997587512845, -76.6457696228274)",148,236,14006,d62a0e02-c5be-49df-a4a2-7f5871224f09
249,Barye,Antoine Louis,https://data.baltimorecity.gov/views/5xsg-uc29/files/jqDiMBAqtY6FORDzaZ-dNJtGSfyzxFuUq6bhI_7zfkM?filename=424_Barye+A_1885.JPG,Peace,1885,bronze,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,SE corner of Washington Monument,,highly visible,outdoor accessible,,"Mount Vernon Pl.21201/02
(39.29730928950913, -76.61563717252402)",165,92,13645,dce5596c-6805-4dd8-84cf-49d26d5aecbd
250,Bennett,William,,Baltimore,1976,limestone,21202,Shot Tower Park,Fallsway and Fayette Sts.,,Near Chez Fernands,,,,,"Fallsway and Fayette Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,9f74ced1-8e0e-44d4-9dba-073fd81dc517
251,Berge,Henry,,St. Francis,1937,concrete/ stone,21207,Kernan's Hospital,2200 N. Forest Park Ave.,,Garden behind colonnade,,,,,"2200 N. Forest Park Ave.21207
(39.3120711258069, -76.7067461983265)",51,57,13995,feb55a69-d785-4741-b713-9eeba5110b19
252,Hilson,Harry,,Unknown,,concrete,21218,Department of Housing and Community Development/Ho,201 Aisquith St.,,Left of entrance,,,,,"201 Aisquith St.21218
(39.32947000000013, -76.60331999999988)",77,186,27307,9664e330-43cf-4953-a933-ee2172176d58
253,Safell,Edward,,Unknown,1969,mural,21225,Bay-Brook Recreation Center,6th St. and Farring Ct.,,Interior,,,,,"6th St. and Farring Ct.21225
(39.22678000000002, -76.61608999999999)",,,27937,e4b6d12d-4373-41c3-b2e7-b4464c50d4cd
254,Hilson,Harry,,Unknown,1969,"fiberglass, stainless ste",21214,Woodholme ES,7300 Moyer Ave.,PS 205,Courtyard center,,,,,"7300 Moyer Ave.21214
(39.35158999999999, -76.56538999999992)",136,224,27291,c17509ac-6724-4297-8888-9e8f71cdb137
255,Bufano,Benjamin,,Penguin,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University21218
(39.32947000000013, -76.60331999999988)",77,186,27307,700203fb-0030-426a-b2bb-b7b82b7b6c62
256,unknown,,,Cylburn Lions,c.1850?,marble,21209,Cylburn Park,4915 Greenspring Ave.,,Two at eastern and two at perenial garden entrances,,,,,"4915 Greenspring Ave.21209
(39.35073724509016, -76.65955622953658)",42,251,14001,30ed03ac-72b5-4a08-949c-18b8b83255da
257,Mears,Mary Ann,,Brio,1975,painted metal,21213,Fort Worthington Recreation Center,2701 E. Oliver S.,,Exterior,,,,,"2701 E. Oliver S.21213
(39.316199999999924, -76.57662999999991)",276,194,26956,27b30037-2f85-443c-9280-c239cba03935
258,Marqueste,Laurent-Honore,https://data.baltimorecity.gov/views/5xsg-uc29/files/YUxLMRLUn-uMyNSy4iuTZDxLpCtJ3eTgCEzytA-FzVs?filename=314_Marqueste+L_1904.JPG,Severn Teackle Wallis,1904,bronze,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,,,highly visible,outdoor accessible,Y,"Mount Vernon Pl.21201/02
(39.29730928950913, -76.61563717252402)",165,92,13645,6e5ab993-146d-4f02-8972-15354332f27f
259,Hess,David,https://data.baltimorecity.gov/views/5xsg-uc29/files/OrrepodDcV9MnZImUoTFYMORdPOyb6F20Tpc9XPF03g?filename=695c_Hess+D_2004.JPG,Birds Nest Balcony,2004,metalic sculpture,21230,American Visionary Art Museum Tall Sculpture Barn,800 Key Highway,,American Visionary Art Museum's James Rouse Bldg.,Massive sized bird's nest,"Visible from sidewalk; in between buildings",Outdoor Accessible,,"800 Key Highway21230
(39.28022140477276, -76.60655918234988)",67,2,27953,f845a0ce-0200-4399-84f4-2d3e7cbd83e7
260,Schneider,Jo Ann,,Two Friends,1983,slate & cor ten,21210,Friends School of Baltimore,5001 N Charles St.,,Outside lower school,,,,,"5001 N Charles St.21210
(39.35454366077879, -76.62372768827265)",116,256,14009,049816e4-efa2-4bf3-933f-468b33e74002
261,Russum,Jean,,Roots of Life,,concrete,21213,Furley ES,4633 Furley Ave.,PS 206,Lobby,,,,,"4633 Furley Ave.21213
(39.316199999999924, -76.57662999999991)",276,194,26956,446a89bb-47de-49c0-9f7e-4f0716ac3222
262,Stewart and Urban Xperience,Benari,,New Song,2005,mural,21217,1601 N. Calhoun St.,1601 N. Calhoun St.,,Side of building with open green space,"Man, woman, and boy on a hilltop, looking into distance; white dove in background",Visible from street,,,"1601 N. Calhoun St.21217
(39.30672116781016, -76.64185570336787)",221,22,27301,975f0ba8-c165-45d6-8cca-bd3b83684690
263,unknown,,,Propeller from the Battleship New Jersey,,,21202,The National Aquarium,501 E Pratt St,,,,,,,"501 E Pratt St21202
(39.28668753016342, -76.60843876539116)",121,6,13645,65254dda-50db-434f-9651-c914f86b69ba
264,,Unknown,,Unknown,1965,concrete and glass,21215,Strathmore Tower Condominiums,6210 Park Heights Ave.,,Front garden,,,,,"6210 Park Heights Ave.21215
(39.35853436708419, -76.69366751410791)",58,249,27295,5e998440-cc12-4956-8ce0-9fcf0a8121ba
265,McKenzie,R. Tait,,Boy Scout,1937,bronze,21211,Boy Scout Headquarters,Wyman Park Dr. and Sisson St.,,Boy Scout Headquarters,,,,Y,"Wyman Park Dr. and Sisson St.21211
(39.32197692659315, -76.62781016190229)",102,14,14006,3ac84ccd-dedb-46af-83e6-1916f4159581
