OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
74,Kissack and MICA Community Arts Partnerships,Lyle,,,2004,mural,21223,325 N. Fulton Ave.,325 N. Fulton Ave.,,Side of building,People in the community,Visible from street,,,"325 N. Fulton Ave.21223
(39.292289762845, -76.64532280291871)",84,10,27632,1bd6fcab-2b77-4c8f-92cb-96d2081b00d3
75,Kissack,Lyle (with Cinda Garcia),,,2006,mural,21218,27th Street and Greenmount,27th Street and Greenmount,,on side of building facing north side,imagery of children playing on streets,Visible to southward  traffic and side streets,,,"27th Street and Greenmount21218
(39.32947000000013, -76.60331999999988)",77,186,27307,271f55bd-3ca6-45c9-a4bc-ef7498e3b0c0
76,Perlman,Bernard S.,,Unknown,1976,mural,21206,Gardenville ES,5300 Belair Rd.,PS 211,Interior,,,,,"5300 Belair Rd.21206
(39.33773304854651, -76.55223113855988)",248,211,13991,6ba9d06a-d444-480f-b1fe-0d2f02d3ea83
77,Hofmann,Earl F.,,Unknown,1969,ceramic tiles,21218,Cold Stream Park ES,1400 Exeter Hall Ave.,PS  31,"Interior; over main entrance",,,,,"1400 Exeter Hall Ave.21218
(39.32036714016073, -76.60166687051054)",54,179,27307,b77d51d6-dacd-481b-8e54-3d880bb4da85
78,Kail,Frederick,https://data.baltimorecity.gov/views/5xsg-uc29/files/LXSQBaKnQPrffRWDwsaF6eLEnURYlzJ0jKtsiHRTp1c?filename=756_Kail+F_2002.JPG,Johnny Unitas,2002,bronze,21230,M&T Bank Stadium,1101 Russell St,,"Unitas Plaza, main entrance",bronze sculpture of Unitas throwing a football,Very visible,Outdoor Accessible,,"1101 Russell St21230
(39.27836880139239, -76.6241858941242)",228,178,27953,208ac322-fa67-4996-9cb1-e43febf937cd
79,Brown,Dick,,Bluebird of Happiness,,mosaic tile/concrete sculpture,21230,American Visionary Art Museum,800 Key Highway,,"At entrance of employee parking, south of main entrance",4' mosaic sculpture of a bluebird,Very visible,Outdoor Accessible,,"800 Key Highway21230
(39.28022140477276, -76.60655918234988)",67,2,27953,e84322a9-4726-4cc4-8069-1804ad719e1d
80,Fraser,Laura Gardin,,Lee-Jackson Monument,1946,bronze,21218,Art Museum Dr. and Wyman Park Dr.,Art Museum Dr. and Wyman Park Dr.,,,,,,Y,"Art Museum Dr. and Wyman Park Dr.21218
(39.324459055394016, -76.62004901278942)",123,13,27307,0b4a38c9-e651-4a84-adbf-38ac7e14cafd
81,Flood,James,,The Seasons,1976,mixed media,21206,North East MS,5001 Moravia Rd.,PS  49,Cafeteria,,,,,"5001 Moravia Rd.21206
(39.32495368251011, -76.55089114873624)",46,202,13991,d8b6ef3a-51b8-4915-9240-7f4381cee330
82,Duffy (W. Kirwin Architect),William Francis,,Bird in Tree,1989,forged steel,21207,Carrie Murray Outdoor Learning Center,4921 Windsor Mill Rd.,,Beside driveway,,,,,"4921 Windsor Mill Rd.21207
(39.30959326224968, -76.70113188695109)",245,57,13995,dae271f6-c1f4-4a20-8bf3-634c9eca0e63
83,Russum,Olin,,The Dancers,1971,ceramic tiles,21217,Joseph C. Brisco HS,900 Druid Hill Ave.,PS 451,"Wall facing Martin Luther King, Jr. Blvd.",,,,,"900 Druid Hill Ave.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,f26ec7af-7516-4eca-8230-ebc4f303e8bf
84,Bill,Max,,Endless Ribbon,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,5b317ce3-a14a-4a0d-b531-f7a228c112ce
85,Bartholdi,Frederic A.,,Statue of Liberty (copy),,,21218,Mergenthaler Vocational and Technical HS,3500 Hillen Rd.,,,,,,,"3500 Hillen Rd.21218
(39.33167161806898, -76.58903139599886)",77,190,27307,8644f0d0-4cd4-41b9-a332-b5655192de70
86,Gibbs,Nathaniel,,Bulletin Board,1984,oil/canvas,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,"Second floor, B wing hallway near media center",,,,,"2301 Gwynns Falls Pkwy.21217
(39.31568167238805, -76.65537438210032)",157,40,27297,232482a3-217e-4d0b-a2b9-4a4fd82a7a38
87,Dogle,,,James L. Ridgely Monument,1885,bronze,21217,Harlem Park,1500 Edmondson Ave.,,Harlem Park,,,,Y,"1500 Edmondson Ave.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,219596e9-e23a-495f-8b1e-7f7fcc24c727
88,Rehart,Ingrid,,Unknown,1975,mural,21224,William Paca ES,200 N. Lakewood Ave.,PS  83,Exterior,,,,,"200 N. Lakewood Ave.21224
(39.29517713012001, -76.57922878587948)",141,123,27935,50a19da1-b657-4216-bc9f-ccc8628090f6
89,Carlberg,Norman,,Unknown,1968,painted steel tubing,21216,Easterwood Park Recreation Center,1530 N. Bentalou St.,,Exterior,,,,,"1530 N. Bentalou St.21216
(39.30544144632868, -76.6539240445626)",56,29,27297,2b8513dd-82b4-4177-9758-d2f84bc3ba06
90,Konkle and DeRan,Kathleen and Brian,,,1996,mural,21201,Howard and Monument Sts.,Howard and Monument Sts.,,Side of building facing Howard St.,Street scene with 5 people at stop sign and bus,Very visible,,,"Howard and Monument Sts.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,ba61567c-0807-404f-aaba-5292c9e7df44
91,Suspensky,Thomas G.,,Unknown,1974,ceramic tile,21210,Roland Park ES,5207 Roland Ave.,PS 233,Interior- addition,,,,,"5207 Roland Ave.21210
(39.35696055353293, -76.63479789406995)",265,254,14004,0613934d-f2c0-417e-833e-75a3fed6a0db
92,Bogdanas,Konstantinas,,Frank Zappa,2006,"bronze bust, stainless steel pedestal",21224,Southeast Anchor Branch of the Enoch Pratt Library,3601 Eastern Avenue,,Front of building - at corner of Eastern Avenue & Conkling Street,Bust of Frank Zappa on stainless steel rod shapped pedestal - Installed 2010,Highly Visible,Outdoor Artwork,,"3601 Eastern Avenue21224
(39.286642564061935, -76.56680914865484)",109,140,27935,499b201f-aa71-4ecb-a65e-0fcdffefc434
93,Martray,Alexander,,,2004,mural,21213,N. Patterson Park Ave. and N. Gay St.,N. Patterson Park Ave. and N. Gay St.,,"Side of condemned building; North side of Gay St.",Boy holding globe with cityscape,Limited visibility,,,"N. Patterson Park Ave. and N. Gay St.21213
(39.31099620461538, -76.58588376889628)",23,148,26956,53a6ab4e-d235-4f5f-8aab-fed107be1bc4
94,unknown,,,Saint Lo Monument,1947,,21213,Saint Lo Dr.,St. Lo Dr.,,,,,,Y,"St. Lo Dr.21213
(39.32070376095271, -76.58989605599857)",53,198,26956,123acadb-2f7e-4062-a4d4-6e42ba97d4c7
95,unknown,,,Serviceman's Memorial,1945,,21211,Weldon Ave. and Falls Rd.,Weldon Ave. and Falls Rd.,,,,,,Y,"Weldon Ave. and Falls Rd.21211
(39.33848847905108, -76.63797250083337)",112,26,14006,250674ac-7d22-4085-b3f8-ab9fc2ba0083
96,Wells,Betty,,Yum Yum Tree,1971,stone aggregate,21229,Violetville Recreation Center,1200 S. Grantly St.,,"Interior; entrance wall",,,,,"1200 S. Grantly St.21229
(39.26749435319788, -76.6730432126857)",244,166,27944,86ccbbc2-c74f-4787-8f2c-5228d62d3e79
97,Jones,Michael,,Unknown,1989,painting,21210,Roland Park E/MS,5207 Roland Ave.,PS 233,"Interior; hall corridor",,,,,"5207 Roland Ave.21210
(39.35696055353293, -76.63479789406995)",265,254,14004,66eeaf91-ba00-4042-9df7-bc34a0df339c
98,Gibbs,Nathaniel,,African-American Leaders Portraits,1984/02,oil/canvas,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,Second floor near media center,,,,,"2301 Gwynns Falls Pkwy.21217
(39.31568167238805, -76.65537438210032)",157,40,27297,7f53994e-cf10-4c45-a364-ee4ddde87e1b
99,Kepes,Gyogry,,Unknown,,stained glass,21231,Commodore John Rogers ES,100 N. Chester St.,PS  27,Library/corridors,,,,,"100 N. Chester St.21231
(39.293378486061386, -76.58751154176935)",27,120,27954,c2d2852d-2f93-497a-a79c-b9729b3b7397
100,Lewis,James,,Untitled,1974,bronze,21212,Walter P. Carter ES,820 E. 43rd St.,PS 134,Entrance plaza,,,,,"820 E. 43rd St.21212
(39.34256240784384, -76.60378027727938)",259,217,14009,6d57726a-fce3-43b8-ad50-11fc7b901f29
101,Lowenberg,Gordon,,Unknown,,acrylic paint,21217,Parkview Recreation Center for School,2610 Francis St.,PS  24,Entrance overhang,,,,,"2610 Francis St.21217
(39.313992932958385, -76.64359924644015)",195,19,27301,a8ff82c3-665e-44ad-bafc-4953b226f826
102,Weinert,Albert,https://data.baltimorecity.gov/views/5xsg-uc29/files/t6ouhm1jE8RhvQu794MevFVoGm_47Eo2goXorfh_wEA?filename=328_Weinert+1908.jpg,Cecilius Calvert Statue,1908,bronze,21202,Clarence J. Mitchell Jr. Courthouse,St. Paul & Lexington Streets,,,,,,Y,"St. Paul & Lexington Streets21202
(39.297300000000064, -76.60749999999996)",196,108,13645,fd194ec4-4ccc-40b6-aa02-b48a86163f06
103,van Rossum,Peter,,Untitled,1967,brick,21223,James McHenry ES,31 S. Schroeder St.,PS  10,Front façade,,,,,"31 S. Schroeder St.21223
(39.28762282507387, -76.63370971441446)",114,7,27632,6484e3f5-1022-4a51-918a-281e032cf67d
104,van Rossum,Peter,,Untitled,1969,brick sculptured wall,21230,Light St. Library,1251 Light St,,Exterior,,,,,"1251 Light St21230
(39.27490641157959, -76.61205403994893)",67,172,27953,96596a5a-312c-4793-aed9-9ad2e9faf227
105,Russum,Olin,,Unknown,1967,sculptural garden,21231,Patterson HS,100 Kane St.,,Exterior courtyard,,,,,"100 Kane St.21231
(39.28823000000011, -76.59190000000001)",240,287,27954,80a9489f-a1ce-4b46-adba-0a5e31959620
106,Hoffmaster,Thomas F.,,Untitled,1967,bronze,21217,Eutaw Marshburn ES,1624 Eutaw Pl.,PS  11,"Exterior; over entrance",,,,,"1624 Eutaw Pl.21217
(39.306769391077694, -76.62980665680732)",144,99,27301,b45e09cd-bc5b-47d9-8f37-56f83fcf919d
107,Carfagno Ferguson,Mary,,,1999,mural,21230,343 Scott St.,343 Scott St.,,Side of building of Scott and Ramsey,Building with garden,Visible,,,"343 Scott St.21230
(39.2838996318726, -76.62888035511713)",250,168,27953,d56dfffb-0613-4295-9eb4-5360de953c81
108,Perlman,Joel,,Unknown,1970,painted steel,21223,Southwestern Sr. HS,200 Font Hill Ave.,PS 412,"Interior; plaza off cafeteria",,,,,"200 Font Hill Ave.21223
(39.28353990306084, -76.66253298545354)",35,76,27632,9e8e015c-bc1e-4f14-8b90-c448e039079e
109,James and Mural Masters,Shawn,,,2004,mural,21230,W. Hamburg and Bayard Sts.,W. Hamburg and Bayard Sts.,,Side of building,"Gwynns Falls Trail; bicycle riders, roller blader, and walker",Visible,,,"W. Hamburg and Bayard Sts.21230
(39.266940000000034, -76.62630000000001)",258,151,27953,3fe37dac-1ae0-4065-a41d-718325f59c51
110,Finkelstein,William,,Unknown,1967,mosaic tile,21207,Fire House,1503/15 W. Lafayette Ave.,,Entrance wall,,,,,"1503/15 W. Lafayette Ave.21207
(39.32364999999999, -76.72009000000003)",,,13995,85859513-3499-446f-a144-c26adb30fb8e
111,unknown,,,Palace Lions,,,21231,Patterson Park,,,,,,,,"21231(39.28823000000011, -76.59190000000001)",240,287,27954,9adadea6-3ab8-476b-a949-0fccbba8adbc
