X,Y,OBJECTID,id,address,downtown,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,street_tag,city,state,zipcode,x_coord,y_coord,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,name,gis_id,globalid,url,GlobalID_2
1419947.44489716,592282.408535672,88,93,222 N. Howard Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1419947.44489753,592282.40853452,Designated Landmarks,Downtown,11,24510401002027,1,CENTRAL,18S UJ 60316 50469,Jamie Williams,4103964106,Department of Planning,Hutzler's Tower Building,38_91,{FD572C57-9F7C-46C6-A5E1-E433F02832E1},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,3675cc54-69be-4bf4-8ed2-2b1f3d9afc85
1419685.76103732,606212.957774231,89,94,Charles and 34th Streets,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21218,1419685.76103769,606212.9577731,Designated Landmarks,Johns Hopkins Homewood,14,245101202004000,5,NORTHERN,18S UJ 60330 54715,Jamie Williams,4103964106,Department of Planning,"Johns Hopkins University, Gilman Hall",38_92,{FDD58AA2-2AD1-4CB5-931C-8731605AAFB7},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,6b53e584-887c-4d94-bf2f-ce5bb1a5f285
1424927.37424174,590084.009717239,90,95,245 Albemarle Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1424927.37424211,590084.0097161,Designated Landmarks,Little Italy,1,24510302003003,2,SOUTHEASTERN,18S UJ 61819 49766,Jamie Williams,4103964106,Department of Planning,The D'alesandro House,38_93,{59ECB043-D448-41CE-A6E6-D83F3DE33954},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,d3cf8c01-65e2-4f02-9e59-653eaa6e1f17
1403035.27957459,588822.277660637,91,96,3800 Frederick Avenue,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21229,1403035.27957495,588822.27765952,Designated Landmarks,Irvington,8,245102008003003,8,SOUTHWESTERN,18S UJ 55140 49528,Jamie Williams,4103964106,Department of Planning,St. Joseph's Passionist Monastery,38_94,{9362A20F-1F78-47AA-BFC7-2BBBA93AF244},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,da3564f5-dd60-4b04-b734-a8d8020c2986
1418738.98241907,594185.908665651,92,97,520 Orchard Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1418738.98241945,594185.90866452,Designated Landmarks,Seton Hill,11,245101701002003,1,CENTRAL,18S UJ 59961 51057,Jamie Williams,4103964106,Department of Planning,Orchard Street Church,38_95,{8506CE17-F4BA-4772-B14B-A2F0D0057377},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,0defea79-e15e-481c-81a1-e4a664a3ee5f
1417701.49203998,596499.049380585,93,98,1327 Madison Avenue,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21217,1417701.49204037,596499.04937943,Designated Landmarks,Madison Park,11,245101702001003,1,CENTRAL,18S UJ 59660 51769,Jamie Williams,4103964106,Department of Planning,Douglass Memorial Community Church,38_96,{3F05804E-52A0-4E1F-8BD5-9FCA24BB08EB},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,793fb2f3-2297-4784-adb5-67d5cd29f9ad
1406541.4156069,597756.997324008,94,99,1705 North Longwood Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21216,1406541.41560727,597756.99732285,Designated Landmarks,Northwest Community Action,7,245101506003002,8,SOUTHWESTERN,18S UJ 56268 52227,Jamie Williams,4103964106,Department of Planning,Buena Vista,38_97,{71A9CD8C-920D-4AAD-9014-1A840C8348F3},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,922d0eba-fcdb-45f5-ad01-3277bb3966bf
1421281.12989383,594638.177774219,95,100,8 E. Madison Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1421281.1298942,594638.1777731,Designated Landmarks,Mount Vernon,11,245101102002001,1,CENTRAL,18S UJ 60738 51178,Jamie Williams,4103964106,Department of Planning,George Howard House,38_98,{1410D6F4-EB45-4795-ABEB-19A5DB64F7D5},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,afae22b7-fbef-4208-b4a7-18d2129e1755
1420950.34512233,598433.492033973,96,101,1711-1717 N. Charles Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1420950.3451227,598433.49203285,Designated Landmarks,Charles North,12,245101205003015,1,CENTRAL,18S UJ 60663 52336,Jamie Williams,4103964106,Department of Planning,Charles Theater,38_99,{A9550BBD-7927-4746-8C88-335237416A04},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,98cf44a9-e968-4274-8e64-c9718c6913ab
1415229.17874315,597581.90974765,97,102,2001 Division Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21217,1415229.17874353,597581.90974651,Designated Landmarks,Druid Heights,11,245101403002003,1,CENTRAL,18S UJ 58914 52115,Jamie Williams,4103964106,Department of Planning,Saint Katherine of Alexandria Protestant Episcopal,38_100,{404F9DD6-B3F2-431C-821B-52BB7597F9DA},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,7b456309-f3b9-4164-b2df-074249e19504
1419904.29832992,592091.514560498,98,103,118 N Howard St,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1419904.29833028,592091.51455935,Designated Landmarks,Downtown,11,24510401002034,1,CENTRAL,18S UJ 60302 50411,Jamie Williams,4103964106,Department of Planning,Hecht Company Building,38_101,{2BB37654-D2BD-43B0-A05F-34E0C2BCF30E},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,9d9466b6-804d-479e-a358-d838d376df53
1419767.17229182,593295.125670331,99,104,306-312 W. Franklin Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1419767.17229219,593295.12566918,Designated Landmarks,Mount Vernon,11,245101701001026,1,CENTRAL,18S UJ 60268 50779,Jamie Williams,4103964106,Department of Planning,Congress Hotel,38_102,{745A9795-5DE5-4D39-96E3-3CD63759846C},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,033bc882-a0a3-42f2-9318-723aaf9026ed
1415386.11510908,590021.08989559,100,105,112 South Carlton Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21223,1415386.11510944,590021.08989444,Designated Landmarks,Hollins Market,9,245101803002016,9,SOUTHERN,18S UJ 58911 49811,Jamie Williams,4103964106,Department of Planning,Carlton Street Stables,38_103,{CF9FF2BD-EF9C-4DF1-A334-8BDDD84E924A},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,48e4dd72-9e5f-4396-9221-b041f40d85b5
1433552.57549524,590264.555615981,101,106,3137 Eastern Avenue,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21224,1433552.57549562,590264.55561485,Designated Landmarks,Highlandtown,1,24510102002003,2,SOUTHEASTERN,18S UJ 64448 49763,Jamie Williams,4103964106,Department of Planning,Patterson Theater,38_104,{EEC6D782-9218-40EB-AD92-9D9ED48884E3},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,2323109d-182f-482f-b79f-397365439a37
